title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Assault on the Wayne,1971-01-12,en,Assault on the Wayne,"The U.S. submarine Anthony Wayne is underway for a top-secret mission. Onboard is a highly classified device that will give the Americans a decided nuclear advantage. The entire mission and the secret technology are threatened when the sub commander discovers his crew has been infiltrated by enemy agents. The commander is charged with trying to protect the device while ferreting out the enemy agents. Compounding matters is the state of the commander's physical and mental condition, which is being questioned by his crew.",The Captain Knows Members of His Submarine Crew are Enemy Agents - But Who?,"Action, Drama, TV Movie",english,"navy, missile, infiltration, impostor, nuclear submarine"
Junior Bonner,1972-08-02,en,Junior Bonner,"With his bronco-busting career on its last legs, Junior Bonner heads to his hometown to try his luck in the annual rodeo. But his fond childhood memories are shattered when he finds his family torn apart by his greedy brother and hard-drinking father.","Steve McQueen going down his own road, tougher than ever, as ""Junior Bonner""","Western, Drama","english, spanish","rodeo, arizona, jeep, womanizer, truck"
Fist of Fury - Sworn Revenge,2001-11-26,en,Fist of Fury - Sworn Revenge,"After his village it is brutally attacked by bandits, and his family gets murdered, Jun plans on seeking out distant relatives in Shanghai. On the way he is forced to join a criminal gang after they witness his martial arts skills. After a long and arduous journey, Jun eventual finds refuge at the Jin Wu Martial Arts Academy.",The beginning of a legend.,"Action, Drama",cantonese,"martial arts, kung fu, prequel, edited from tv series"
Bring Me The Horizon: Live at the Royal Albert Hall,2016-04-22,en,Bring Me The Horizon: Live at the Royal Albert Hall,"Live at the Royal Albert Hall is the second live album and video by British rock band Bring Me The Horizon. It was recorded on 22 April 2016 at thr Royal Albert Hall, with accompaniment from the Parallax Orchestra.",For Teenage Cancer Trust,"Music, Documentary",english,"orchestra, concert film, music documentary, band"
Go Man Go,1954-01-27,en,Go Man Go,The story of Abe Saperstein and the creation of the Harlem Globetrotters.,IT'S ALL NEW! IT'S ALL TRUE! The Story of a Dream and a Team!,Drama,english,"sports, basketball, harlem globtrotters"
All My Life,2020-10-23,en,All My Life,"It was a chance meeting started by one of Sol’s friends trying to chat up Jennifer. However, in the end, it was those two who hit it off. Sol enjoyed Jen’s smile, her effort, and how silly she could be. Jen enjoyed Sol’s cooking, his athleticism, and that he would join her in fun moments. As you can imagine, love bloomed, and things got serious. Jen’s investment in Sol led to her pushing him to follow his dreams and even move in to save money. Sol’s investment in Jen well, it led to him proposing. But what started as a liver tumor grew into full-on cancer, so with a diagnosis of 6 months to live, Sol and Jennifer try to make the best of it.",Based on a true love story.,"Romance, Drama",english,cancer
Cracked Nuts,1931-04-18,en,Cracked Nuts,"To impress his fiancee's aunt, a young man tries to become king in a small kingdom, but the people there have already crowned one, who has won this honor by gambling. So he plans a coup d'etat. He tries to achieve this with a bomb, but then something goes wrong...","Put on your squirrel coat and come on down, it's Nut time again!","Comedy, Romance",english,"oil, wedding, king, pre-code"
The Duel,2016-06-24,en,The Duel,A Texas Ranger investigates a series of unexplained deaths in a town called Helena.,Vengeance cannot be denied.,"Western, Drama",english,"hunting human beings, murder"
Left to Die,2012-11-04,en,Left to Die,"With help from U.S. Rep. Corrine Brown, Tammi Chase (Rachael Leigh Cook) fights to free her mother (Barbara Hershey) from an Ecuadorean prison.",A Daughter's Fight for her Mother's Freedom.,"TV Movie, Drama",english,"prison, vacation, drugs, ecuador, trafficking"
Pacific Vibrations,1970-01-01,en,Pacific Vibrations,Psychedelic surfer documentary. Also see http://encyclopediaofsurfing.com/entries/drugs-and-surfing,Like Woodstock on a Wave…,"Music, Documentary",english,"surfing, sports, drugs, psychedelics, drug culture"
Obit,2017-01-11,en,Obit,"How do you put a life into 500 words? Ask the staff obituary writers at the New York Times. OBIT is a first-ever glimpse into the daily rituals, joys and existential angst of the Times obit writers, as they chronicle life after death on the front lines of history.",An inside look at life on the New York Times obituaries desk.,Documentary,english,"newspaper, journalism, celebrity, death, archival footage, essay film, new york times, woman director, obituaries"
Cyberbully,2015-01-15,en,Cyberbully,"A chilling real-time thriller featuring a teenager, Casey, battling with an anonymous cyber-stalker.","When you go online, who can you trust","Drama, Thriller",english,"hacker, bully, stalking, hacking, twitter, cyber bully"
Employees' Entrance,1933-02-11,en,Employees' Entrance,"Kurt Anderson is the tyrannical manager of a New York department store in financial straits. He thinks nothing of firing an employee of more than 20 years or of toying with the affections of every woman he meets. One such victim is Madeline, a beautiful young woman in need of a job. Anderson hires her as a salesgirl, but not before the two spend the night together. Madeline is ashamed, especially after she falls for Martin West, a rising young star at the store. Her biggest fear is that Martin finds out the truth about her ""career move.""",Working Girls-Here's Your Picture AboutYour Lives-Your Problems!,"Drama, Romance",english,"infidelity, department store, beautiful woman, pre-code, corporate take over, financial crisis, secret marriage, tyrannical boss, fired from a job, life and career, working girl, career goals, livin' single, dress model, shareholders"
The Terminators,2009-04-28,en,The Terminators,A small band of resistance fighters battle the cyborgs that have taken control of the planet.,"Built to protect mankind, now programmed to destroy.","Action, Horror, Science Fiction",english,cyborg
Acting,2022-05-27,en,Acting,An actor gets more than he bargained for at his latest audition.,Whenever you're ready...,"Thriller, Horror, Comedy",english,"isolation, psychological thriller, audition, masculinity, acting"
Cobalt Blue,2022-04-02,hi,Cobalt Blue,"When an aspiring author and his free-spirited sister both fall for the enigmatic paying guest at their home, ensuing events rock their traditional family.",Love is a habit. The habit ends… you die.,"Romance, Drama","english, hindi, malayalam, marathi","based on novel or book, lgbt, gay theme, gay relationship, traditional values"
The Way of the Dragon,1972-06-01,cn,猛龍過江,"Tang Lung arrives in Rome to help his cousins in the restaurant business. They are being pressured to sell their property to the syndicate, who will stop at nothing to get what they want. When Tang arrives he poses a new threat to the syndicate, and they are unable to defeat him. The syndicate boss hires the best Japanese and European martial artists to fight Tang, but he easily finishes them off.",The Colosseum . . the battleground of Bruce Lee and Chuck Norris.,"Action, Crime","cantonese, mandarin, english, italian","martial arts, kung fu, rome, italy, colosseum, fight, culture clash, italy, gangster, restaurant, crime boss, chinese mafia, fistfight, honor, fish out of water, hong kong, east asian lead, combat, hoodlum, nunchaku, action hero, property"
Pimp,2018-11-09,en,Pimp,"An urban love story set on the hard streets of the Bronx. A struggling female pimp, named Wednesday, grows up learning the game from her dad. Once he's gone she's left to look out for her prostitute mother and girlfriend Nikki.",All Girl. All Pimp.,Drama,english,pimp
Shapeshifter,1999-06-22,en,Shapeshifter,Alex Brown inherits the awesome task of saving his ex-secret agent parents and protecting the planet from evil powers bent on controlling the world's plutonium supply. To do this Alex uses his new found magical shapeshifting power.,The Kid's Got The Power,"Family, Fantasy, Thriller",english,"plutonium, gypsy, spy, shapeshifting"
Circle of Pain,2010-08-15,en,Circle of Pain,"Following an in-ring accident, Dalton Hunt retired from the world of mixed martial arts at the top of his game. Unable to outrun his guilt, he lost his family, his title, and his way. But when a crooked promoter lures him back into a fight against the current undefeated champ, Patrick ""The Brick"" Wahle, Dalton must enlist the aid of an enigmatic trainer to turn him back into a warrior so he can stand tall and do battle once again.",Pain is temporary. Pride lasts forever.,Action,english,"friendship, sports, assault, mixed martial arts"
Metallica: Freeze 'Em All - Live in Antarctica,2013-12-23,en,Metallica: Freeze 'Em All - Live in Antarctica,"On December 8, 2013 we set a world record by becoming the first and only band in history to perform concerts on all seven continents in under a year! Watch us play for a small group of fans and research scientists in a little dome at the Carlini Argentine Base in Antarctica! Thanks to Coca-Cola for putting it all together and to Burton for keeping us warm!",Freeze To Death,Music,English,"concert, live"
