title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Zombies Ate My Prom Date,2008-06-15,en,Zombies Ate My Prom Date,A group of teens from different social gatherings must co-exist and survive Prom from their entire Senior class of zombies.,"This Prom night, the geek will get the girl...even if he has to go through the entire senior class of zombies to do it.","Animation, Comedy, Horror",english,"comic book, prom, zombie, action hero"
31,2016-09-15,en,31,"Five carnival workers are kidnapped and held hostage in an abandoned, Hell-like compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns.",Welcome to hell.,"Horror, Thriller","german, english, spanish","nazi, sadism, psychopath, 1970s, texas, halloween, satanism, clown, carnival, survival, murder, chainsaw, maniac, game, carny, betting, killer clown, midget, ax, death game"
Dead Snow 2: Red vs. Dead,2014-02-12,no,Død Snø 2,"The gruesome Nazi Zombies are back to finish their mission, but our hero is not willing to die. He is gathering his own army to give them a final fight.",The Sequel You Did Nazi Coming.,"Horror, Action, Comedy","german, norwegian, english","nazi, gore, sequel, zombie, aftercreditsstinger"
Gorp,1980-05-01,en,Gorp,Pranksters cause trouble at a summer camp for rich kids.,"A bunch of fruits, nuts and flakes.",Comedy,english,summer camp
Lesbian Seductions: Older/Younger 3,2005-06-30,en,Lesbian Seductions: Older/Younger 3,"Girlfriends Films brings you more of the best in all female adult entertainment with Lesbian Seductions Older/Younger 3. With an emphasis on real-life pacing and genuine orgasms, watch as sultry, sophisticated older women go on the prow for lithe young bodies. For the fine folks with good hearts and curious minds!",Hot mature lesbian women seduce young eager girls into their most erotic lesbian fantasies!,Romance,english,"seduction, lesbian sex, older woman younger woman relationship"
Django Strikes Again,1987-10-22,it,Django 2 - Il grande ritorno,Former gunfighter Django has become a monk and abandoned his violent former ways. His daughter is kidnapped by rogue Hungarian soldiers using slave labor to run a silver mine. Django casts off his habit and digs up his machine gun to practice a little liberation theology.,Forget Young Guns. Here comes the BIG GUN.,Western,"spanish, english, italian","spaghetti western, django"
Bunraku,2010-09-01,en,Bunraku,"In a world with no guns, a mysterious drifter, a bartender and a young samurai plot revenge against a ruthless leader and his army of thugs, headed by nine diverse and deadly assassins.",A civilized weapon for uncivilized times,"Thriller, Action, Drama",english,"bartender, revenge, drifter, uncle nephew relationship"
The Man Who Killed Don Quixote,2018-05-19,en,The Man Who Killed Don Quixote,"Toby, a cynical film director finds himself trapped in the outrageous delusions of an old Spanish shoe-maker who believes himself to be Don Quixote. In the course of their comic and increasingly surreal adventures, Toby is forced to confront the tragic repercussions of a film he made in his idealistic youth.",Today's a marvelous day for adventures!,"Adventure, Comedy","spanish, english","spain, based on novel or book, director, filmmaking, don quixote"
Wild Weed,1949-07-20,en,Wild Weed,A chorus girl's career is ruined and her brother is driven to suicide when she starts smoking marijuana.,How Bad Can a Good Girl Get... Without Losing Her Virtue and Self-Respect?,Drama,english,marijuana
The Curse of La Llorona,2019-04-17,en,The Curse of La Llorona,A social worker dealing with the disappearance of two children fears for her own family after beginning the investigation.,She Wants Your Children.,"Horror, Mystery, Thriller","spanish, english","lanetli gözyasları, la llorona"
