title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Alien Contact: The Pascagoula UFO Encounter,2020-03-17,en,Alien Contact: The Pascagoula UFO Encounter,"A seminal alien abduction case is re-opened as new eye witnesses confirm the horrifying UFO encounter. Hear the true story from the lone survivor, Calvin Parker, with shocking details that have never before been exposed.",A retrospective on the events in this small town,Documentary,english,"mississippi river, alien abduction"
Colonia,2015-06-24,en,Colonia,"A young woman's desperate search for her abducted boyfriend draws her into the infamous Colonia Dignidad, a sect nobody ever escaped from.",There is no turning back,"Drama, History","english, spanish","kidnapping, 1970s, cult, chile, pinochet regime, religion, torture chamber, religious fundamentalism, military dictatorship, political unrest"
Deception,2015-09-02,en,Deception,"Detective Alicia Wallace is a valuable and respected officer on the LAPD… until her husband is murdered. With a crime hitting so close to home and no leads in sight, accusations begin to fly. Even her own partner suspects something is amiss. When an escaped criminal resurfaces, no one is prepared for just how deep the deception runs.",Things are never what they seem.,Crime,english,"suspicion, murder, female police officer"
Tell It to the Bees,2018-09-09,en,Tell It to the Bees,"Dr. Jean Markham returns to the town she left as a teenager to take over her late father's medical practice. When a school-yard scuffle lands Charlie in her surgery, she invites him to visit the hives in her garden and tell his secrets to the bees, as she once did. The new friendship between the boy and the bee keeper brings his mother Lydia into Jean's world.",Some secrets are too powerful to keep,"Romance, Drama",english,"based on novel or book, scotland, lesbian relationship, working class, lgbt, woman director, 1950s, failed marriage, beekeeper, lesbian"
The Great Alaskan Race,2019-02-27,en,The Great Alaskan Race,"In 1925, a group of brave mushers travel 700 miles to save the small children of Nome, Alaska from a deadly epidemic.",The amazing true story of Togo and Balto,"Adventure, History",english,"based on true story, outbreak, alaska, epidemic, sled dogs, nome alaska, 1920s, real story, diphtheria, togo, polar adventure"
"Me, Myself and I",1992-01-01,en,"Me, Myself and I","Diane is a growling, howling urban nightmare, suffering from paranoia, nymphomania, and a really bad hair day. Her neighbor, a TV writer, is subject to Diane's constant commentary on sex, violence and invisible persecutors through paper-thin walls. When Diane manages to seduce him, the two jaded New Yorkers discover that love works in mysterious ways.",A romantic comedy with multiple personalities.,Comedy,english,"schizophrenia, hallucination, neighbor"
Virus,1999-01-14,en,Virus,"When the crew of an American tugboat boards an abandoned Russian research vessel, the alien life form aboard regards them as a virus which must be destroyed.",Life on earth is in for a shock.,"Horror, Action, Science Fiction","english, russian","desertion, tornado, alien life-form, evil, insurance, virus"
Blame,2022-05-17,en,Blame,Two siblings' lives are turned upside down after their mother dies in a tragic accident.,It's Not Your Fault,Drama,English,"sibling relationship, loss, love, tragedy, car accident"
Johnny English Reborn,2011-09-15,en,Johnny English Reborn,"The most prominent heads of state in the world begin gathering for a conference that could have a major impact on global politics. When MI-7 receives word that the Chinese premier has become the target of some high-powered killers, it falls on Johnny English to save the day. Armed with the latest high-tech weaponry and gadgets that would make even James Bond jealous, the once-disgraced agent uncovers evidence of a massive conspiracy involving some of the world's most powerful organisations, and vows to redeem his tarnished reputation by stopping the killers before they can strike.",A little intelligence goes a long way,"Crime, Action, Comedy","german, cantonese, english, mandarin, russian","mind control, buddhist monk, cooking, prime minister, secret agent, sequel, james bond spoof, incompetence, aftercreditsstinger, assassination attempt"
All Hallows' Eve Horror,2017-03-03,en,All Hallows' Eve Horror,"It's that creepy time of year again...Halloween. And a group of friends have gotten together for a party at an old abandoned and haunted house where an entire family was once murdered. Seems totally safe right? Wrong. Dead wrong. Because not only do the kids decide to play some tricks and have a few treats, they manage to revive a supernatural killer; a killer hell bent on sacrificing them one by one to evil forces possessing the home. Will anyone escape? Or will they all be slain and become permanent residents of the infamous Amityville house? With original music by Nightmare queen Tuesday Knight, this is a night that none of them will ever forget ,for as long as they live.",Some Halloween stories can never be forgotten,Horror,english,halloween
"I, Anna",2012-03-03,en,"I, Anna","A noir thriller told from the point of view of a femme fatale, who falls for the detective in charge of a murder case.",The Darkest Secrets Are The Ones We Hide From Ourselves,"Drama, Thriller, Mystery",english,"femme fatale, neo-noir"
Coffin Rock,2009-09-04,en,Coffin Rock,"A woman unable to conceive a child with her husband, despite years of trying, makes the drunken mistake of sleeping with a young stranger. The stranger then goes to terrifying lengths to prove his paternity.",Be careful what you wish for.,Thriller,english,australia
White Wolves III - Cry of the White Wolf,2000-06-13,en,White Wolves III - Cry of the White Wolf,"Two teenagers are put to the test when the plane taking them to a wilderness boot camp for juvenile offenders crashes into the vast sierra. Their pilot, Quentin, injured and ununable to make the dangerous journey, teaches them the ways of his ancient people and to have faith in the spirit of the white wolf as well as themselves.",The spirit of an ancient hunter is now their only hope.,"Adventure, Action",English,"wolf, survival, woman director"
The Private Navy of Sgt. O'Farrell,1968-05-08,en,The Private Navy of Sgt. O'Farrell,"Sgt. O'Farrell an Army soldier on an island in the South Pacific during World War II is trying to bring the two basics of life to his fellow servicemen, women and beer. The supply ship carrying the beer is torpedoed and the contingent of nurses consists of six males and ugly nurse Nellie Krause. If he could at least try to salvage the shipment of beer.",Don't fire 'til YOU SEE THE REDS OF THEIR EYES!,"Comedy, War",english,"navy, south pacific"
Wingfield's Folly,1999-01-01,en,Wingfield's Folly,"In his third year on the farm, after two profit-free seasons, Walt finally pinpoints the economic source of his problems and embarks on a course which brings him to his most profound crisis to date. In this sequel to Letter From Wingfield Farm and Wingfield's Progress Walt sets up a closed economy with his neighbours, prints his own currency and falls in love.",Wingfield Farm,Comedy,English,one-man show
Gregory's Girl,1981-04-23,en,Gregory's Girl,A teenager falls hard for the female soccer player who has replaced him on the team and attempts to pursue her.,This has to be the match of the day...,"Comedy, Romance","english, italian","scotland, coming of age, school, football (soccer), first love"
The Deepest Breath,2023-01-21,en,The Deepest Breath,A champion freediver and expert safety diver seemed destined for one another despite the different paths they took to meet at the pinnacle of the freediving world. A look at the thrilling rewards — and inescapable risks — of chasing dreams through the depths of the ocean.,One dive. One breath. One chance.,Documentary,"english, italian, russian","diving, apnoe-diving, extreme sports, underwater, sports documentary, free diving, breathing, deep blue"
Social Animals,2018-06-01,en,Social Animals,"Determined not to turn into her parents, or be drawn into any relationship longer than a one night stand, Zoe constantly struggles with her failing business and love life. Then she falls in love for the first time with Paul. But there's one problem: Paul is married.",Love is never picture perfect,"Comedy, Romance",english,"male prostitution, twins, divorce, extramarital affair, lice, woman director, singing in a car"
Arizona,1940-12-25,en,Arizona,"Phoebe Titus is a tough, swaggering pioneer woman, but her ways become decidedly more feminine when she falls for California bound Peter Muncie. But Peter won't be distracted from his journey and Phoebe is left alone and plenty busy with villains Jefferson Carteret and Lazarus Ward plotting at every turn to destroy her freighting company. She has not seen the last of Peter, however.",Turbulent Adventure in the Great West!,Western,english,"arizona, singing, pioneer, pipe smoking"
